#x f ferr
 1.74    0.31658    0.01502 
 1.75    0.31469    0.01513 
 1.76    0.31282    0.01524 
 1.77    0.31095    0.01534 
 1.78    0.30910    0.01545 
 1.79    0.30726    0.01556 
 1.80    0.30542    0.01566 
 1.81    0.30360    0.01577 
 1.82    0.30179    0.01587 
 1.83    0.30000    0.01598 
 1.84    0.29821    0.01608 
 1.85    0.29643    0.01619 
 1.86    0.29466    0.01629 
 1.87    0.29291    0.01639 
 1.88    0.29116    0.01650 
 1.89    0.28942    0.01660 
 1.90    0.28770    0.01671 
 1.91    0.28598    0.01681 
 1.92    0.28428    0.01691 
 1.93    0.28258    0.01702 
 1.94    0.28089    0.01712 
 1.95    0.27921    0.01722 
 1.96    0.27755    0.01732 
 1.97    0.27589    0.01743 
 1.98    0.27424    0.01753 
 1.99    0.27260    0.01763 
